Parent App ID,From Application (Consumes),Consuming App Environment,parent.sys_class_name,Type,Child App ID,To Application (Provides),Providing App Environment,child.sys_class_name,Connection strength,sys_updated_on
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,11/14/2021 12:24
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,Production,Application Service,Infrequent,06-06-2024 18:40
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,HIUN1,HIUN1-Hmgbivhb PnhyShbfpl KavkOgl-Wrqnuvawbu,Production,Application Service,Always,8/14/2025 17:35
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8BY,8BY-LBTYKXYOTL-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,OK,OK-OOIKN JIU-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:16
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,IEVK,IEVK-AHQWSHU ARCXSTJHVVN ZETFIVLG IAEU VFHSCX-Wrqnuvawbu,DISASTER RECOVERY/BCP,Application Service,Infrequent,06-06-2024 18:40
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,12/17/2024 16:46
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8T3K,8T3K-AHQWSHU VNG HDXSSHY-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,12/17/2024 18:23
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,MYF,MYF-JOPDRHSZRYS KAVKMTYH-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,12/18/2024 14:12
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-KIUKSMLF YEEYVXYM/ICR,Production,Application Service,Always,12/20/2024 9:40
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,IEVK,IEVK-AHQWSHU ARCXSTJHVVN ZETFIVLG IAEU VFHSCX-Wrqnuvawbu,Production,Application Service,Always,12/17/2024 21:42
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,Production,Application Service,Always,12/17/2024 8:53
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Always,12/13/2024 11:58
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8T3K,8T3K-AHQWSHU VNG HDXSSHY-Wrqnuvawbu,Production,Application Service,Always,12/13/2024 12:19
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,MYF,MYF-JOPDRHSZRYS KAVKMTYH-Wrqnuvawbu,Production,Application Service,Always,06-06-2024 18:28
8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,OK,OK-OOIKN JIU-Wrqnuvawbu,Production,Application Service,Always,12/18/2024 7:00
8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,Production,Application Service,Depends on::Used by,OK,OK-OOIKN JIU-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,IEVK,IEVK-AHQWSHU ARCXSTJHVVN ZETFIVLG IAEU VFHSCX-Wrqnuvawbu,Production,Application Service,Always,11/14/2021 12:24
8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,HSFO,HSFO-Hprvivhbvn Zeeerx Kavk Lxeragns-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,11/14/2021 12:22
8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,MSTF,MSTF-MRCED ZETFIVLG-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,11/14/2021 12:21
8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,ZECC,ZECC-ZHCBEW LNVSTELARUTU HNF HUVROKPNNAIQX ZETFIVLG-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,11/14/2021 12:23
8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,KTFC,KTFC-KIISTTS ARWCTXK KAVK ZOWBCX-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,11/14/2021 12:21
8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,HPU,HPU-HCEYUGA & WRQNUVA ZETFIVLG-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,11/14/2021 12:23
8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,Production,Application Service,Depends on::Used by,ZIOC,ZIOC-ZIOC Huvregawphtkyn-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,06-06-2024 18:28
8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,Production,Application Service,Depends on::Used by,DVEZ,DVEZ-DENVSHUS CITDUTS JATN WMV-WRQNUVAWBU,Production,Application Service,Always,07-07-2024 11:05
8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,Production,Application Service,Depends on::Used by,LCRB,LCRB-LNVOR JUUD WRQPIEL YEH-JS-Wrqnuvawbu,Production,Application Service,Always,11/14/2021 12:24
8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,Production,Application Service,Depends on::Used by,LPUVN,LPUVN-Lpusthu Yeykrwz Wlcdfhya-Wrqnuvawbu,Production,Application Service,Always,11/14/2021 12:20
8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,Production,Application Service,Depends on::Used by,YWTNS,YWTNS-Yeykrwz Zurzoka-Wrqnuvawbu,Production,Application Service,Always,06-06-2024 18:28
8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,Production,Application Service,Depends on::Used by,8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
