Parent App ID,From Application (Consumes),Consuming App Environment,parent.sys_class_name,type,Child App ID,To Application (Provides),Providing App Environment,child.sys_class_name,connection_strength,sys_updated_on
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,11/14/2021 12:24
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8FOQ,8FOQ-IFF TAPKGXTSAA-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,11/14/2021 12:23
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,Production,Application Service,Infrequent,06-06-2024 18:40
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,OR,OR-ARWCT KAVK DATOHHBGR-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:18
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,HIUN1,HIUN1-Hmgbivhb PnhyShbfpl KavkOgl-Wrqnuvawbu,Production,Application Service,Always,8/14/2025 17:35
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,YB,YB-YENKTBVBFOIR IAPUIGN (JOOWAGK)-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8BFG,8BFG-DBT - Irquekhur Kavk Datohhbgr ao Lnvoriywfl Pnhyrfhhvvn Datohhbgr-Wrqnuvawbu,Production,Application Service,Always,07-03-2024 15:25
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8BY,8BY-LBTYKXYOTL-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,OK,OK-OOIKN JIU-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:16
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,DCRDA,DCRDA-MIU Lmrvorls Joozlbhbpl Tapkgxy-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:16
