Parent App ID,From Application (Consumes),Consuming App Environment,parent.sys_class_name,type,Child App ID,To Application (Provides),Providing App Environment,child.sys_class_name,connection_strength,sys_updated_on
80HG,80HG-ZEEERBAM ZETFIVLG KAVKBTZS-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,WWFG,WWFG-Ircxca Hpr Zttktxnm Kavk Pnvogkhhvvn-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,11/14/2021 12:20
80HG,80HG-ZEEERBAM ZETFIVLG KAVKBTZS-Wrqnuvawbu,Production,Application Service,Depends on::Used by,WWFG,WWFG-Ircxca Hpr Zttktxnm Kavk Pnvogkhhvvn-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8A,8A-DFCeth - HUVY MIPKNVL ZYU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8DFB,8DFB-DFCeth - PTQZ - PNVOGKHHRK KEUUTHW-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,05-11-2026 11:16
8A,8A-DFCeth - HUVY MIPKNVL ZYU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8DFB,8DFB-DFCETH - PTQZ - PNVOGKHHRK KEUUTHW-WRQNUVAWBU,PRODUCTION,Application Service,Always,1/22/2026 23:17
8A,8A-DFCeth - HUVY MIPKNVL ZYU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,OK,OK-OOIKN JIU-Wrqnuvawbu,Production,Application Service,Always,8/20/2025 14:46
8ACQ,8ACQ-Hlxkrbh Dotufhyqr Tapkgxtsaa-Wrqnuvawbu,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8BFL,8BFL-LCEYS-WRQNUVAWBU,PRODUCTION,Application Service,Infrequent,06-06-2024 18:40
8ACQ,8ACQ-Hlxkrbh Dotufhyqr Tapkgxtsaa-Wrqnuvawbu,Production,Application Service,Depends on::Used by,LNEDI,LNEDI-NEPOSRZ JTK-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8ACD,8ACD-HCCDS-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,11/14/2021 12:21
8ACD,8ACD-HCCDS-Wrqnuvawbu,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,PRODUCTION,Application Service,Infrequent,06-06-2024 18:40
8ADW,8ADW-IMCZ-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,PGVGY,PGVGY-LNVORIYWFL HPK NAVOWTF-WRQNUVAWBU,PRODUCTION,Application Service,Always,2/18/2025 12:50
8ADW,8ADW-IMCZ-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,2/19/2025 14:24
8ADW,8ADW-IMCZ-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,IEVK,IEVK-AHQWSHU ARCXSTJHVVN ZETFIVLG IAEU VFHSCX-Wrqnuvawbu,Production,Application Service,Always,03-05-2025 13:51
8ADW,8ADW-IMCZ-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,03-11-2025 11:38
8ADW,8ADW-IMCZ-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Always,03-11-2025 11:37
8ADW,8ADW-IMCZ-Wrqnuvawbu,Production,Application Service,Depends on::Used by,IEVK,IEVK-AHQWSHU ARCXSTJHVVN ZETFIVLG IAEU VFHSCX-Wrqnuvawbu,Production,Application Service,Always,03-05-2025 13:52
8ADW,8ADW-IMCZ-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,PRODUCTION,Application Service,Cluster,06-06-2024 18:40
8ADW,8ADW-IMCZ-Wrqnuvawbu,Production,Application Service,Depends on::Used by,PGVGY,PGVGY-LNVORIYWFL HPK NAVOWTF-WRQNUVAWBU,PRODUCTION,Application Service,Always,1/22/2026 23:17
8ADC,8ADC-HBU Zukde - Jrgnim Jatn Zeeerbawmhtkyn-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8RFB,8RFB-YEIELTACEF KAVK YERYSBACEF-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8AFK,8AFK-Hdc - Hdxknvlr Kavk & Hncvympqf-KIUKSMLF YEEYVXYM/ICR,Production,Application Service,Depends on::Used by,8EFW,8EFW-PNVBA-KMU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,1/14/2025 17:56
8AFK,8AFK-HDC - HDXKNVLR KAVK & HNCVYMPQF-WRQNUVAWBU,Production,Application Service,Depends on::Used by,PGVGY,PGVGY-LNVORIYWFL HPK NAVOWTF-WRQNUVAWBU,PRODUCTION,Application Service,Always,1/22/2026 23:17
8AFK,8AFK-HDC - HDXKNVLR KAVK & HNCVYMPQF-WRQNUVAWBU,Production,Application Service,Depends on::Used by,8EFW,8EFW-PNVBA-KMU-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,11/14/2021 12:24
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-KIUKSMLF YEEYVXYM/ICR,Production,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,PRODUCTION,Application Service,Infrequent,06-06-2024 18:40
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,HIUN1,HIUN1-Hmgbivhb PnhyShbfpl KavkOgl-Wrqnuvawbu,Production,Application Service,Always,8/14/2025 17:35
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8BY,8BY-LBTYKXYOTL-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:17
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,OK,OK-OOIKN JIU-Wrqnuvawbu,Production,Application Service,Always,1/22/2026 23:16
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,IEVK,IEVK-AHQWSHU ARCXSTJHVVN ZETFIVLG IAEU VFHSCX-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8AFN,8AFN-IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP-Wrqnuvawbu,Production,Application Service,Depends on::Used by,PGVGY,PGVGY-LNVORIYWFL HPK NAVOWTF-WRQNUVAWBU,PRODUCTION,Application Service,Always,05-02-2025 20:03
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,11/14/2021 12:24
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Depends on::Used by,8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,05-05-2025 10:17
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,PGVGY,PGVGY-LNVORIYWFL HPK NAVOWTF-WRQNUVAWBU,PRODUCTION,Application Service,Always,05-02-2025 20:15
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Always,05-05-2025 11:21
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,PRODUCTION,Application Service,Infrequent,06-06-2024 18:40
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,IEVK,IEVK-AHQWSHU ARCXSTJHVVN ZETFIVLG IAEU VFHSCX-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,05-07-2025 09:26
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,IEVK,IEVK-AHQWSHU ARCXSTJHVVN ZETFIVLG IAEU VFHSCX-Wrqnuvawbu,Production,Application Service,Infrequent,06-06-2024 18:40
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Always,4/16/2025 17:11
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Infrequent,06-06-2024 18:40
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,PRODUCTION,Application Service,Always,1/22/2026 23:17
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,PGVGY,PGVGY-LNVORIYWFL HPK NAVOWTF-WRQNUVAWBU,PRODUCTION,Application Service,Infrequent,06-06-2024 18:40
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-KIUKSMLF YEEYVXYM/ICR,DISASTER RECOVERY/BCP,Application Service,Always,4/25/2025 10:36
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8BCC,8BCC-IRQUEKHUR HCEYUGA ZETFIVLG-WRQNUVAWBU,PRODUCTION,Application Service,Always,5/31/2024 18:10
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8AQB,8AQB-VRCMLX VDU-WRQNUVAWBU,PRODUCTION,Application Service,Infrequent,06-06-2024 18:40
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,PGVGY,PGVGY-LNVORIYWFL HPK NAVOWTF-WRQNUVAWBU,PRODUCTION,Application Service,Always,05-02-2025 20:02
8AGQ,8AGQ-IRQUEKHUR WLCDFHYA HEG HPRVIVHHVVNU-Wrqnuvawbu,Production,Application Service,Depends on::Used by,8BKV,8BKV-IUUSNXZG PNVOGKHHVVN SAAOR - DB-Wrqnuvawbu,Production,Application Service,Always,5/31/2024 18:10
