APPLICATION_ID,WF_GUID,MAINFRAME_ID,CORRELATION_ID,APPLICATION_NAME,COMBO_DISTR_MAIN_ID,LIFE_CYCLE_STATUS,BUSINESS_GROUP,LINE_OF_BUSINESS,TECH_AREA,TECH_GROUP,APPLICATION_MNEMONIC_DISTRIBUTED_ID,TECHNICAL_DESCRIPTION,TECHNOLOGY_PORTFOLIO,DATA_CLASSIFICATION,DYNAMIC_WEB_SERVICE,INSTALL_TYPE,DEPLOYMENT_TYPE,PCI,PCI_NONEAPPLICABLE_PROCESSTRANSMIT,PCI_NONEAPPLICABLE_STORE,PCI_PRIMARYACCOUNTNUMBER_PROCESSTRANSMIT,PCI_PRIMARYACCOUNTNUMBER_STORE,PCI_TOKENIZEDPRIMARYACCOUNTNUMBER_PROCESSTRANSMIT,PCI_TOKENIZEDPRIMARYACCOUNTNUMBER_STORE,PCI_DOESASSETDETOKENIZEPAN,PCI_FULLTRACKDATA_PROCESSTRANSMIT,PCI_FULLTRACKDATA_STORE,PCI_PERSONALIDENTIFICATIONNUMBER_PROCESSTRANSMIT,PCI_PERSONALIDENTIFICATIONNUMBER_STORE,PCI_DOESPANINCLEARTEXTLOGFILES,FEEDS_SPLUNK,PAA,PAA_HOSTING_TYPE,CLOUD_HOSTED_FLAG,CLOUD_SERVICE_TYPE,ENCRYPTS_DATA_AT_REST,SENDS_DATA_EXTERNALLY
91321,JEDNAYM34I597447PPL46335LQ7ICD2B,,VI-IF3000I9N86D4F78P5109N9T7TN2DE0F,IRQUEKHUR KAVK HDOSNBZHEHTKYN KAVK KIUDRBIIGPOP,8AFN,DEPLOYED,WEALTH & INVESTMENT MANAGEMENT,GENERAL MANAGEMENT,TECHWIMT - WEALTH AND INVESTMENT MANAGEMENT TECHNOLOGY,WIMTDSDC - DOMAIN SOLUTIONS AND DOMAIN CAPABILITIES,8AFN,"THIS APPLICATION RUNS ON THE 1AOR ETL HUB SERVERS AND USES SHELL SCRIPTS, AND CONFIGURATION FILES TO MANAGE SCHEDULED DATA DISTRIBUTION.",WIMT - ARCHITECTURE,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO),YES,NO,YES,YES,NO,NO,NO,,NO,NO,NO,NO,No,TRUE,NO,INTERNAL,NO,NO SERVICE,No,Both - Send/Receive
90964,6DEN2U0R4I597447PPL46335LQ7ICD45,,VI-L10LB24PPHA74A2637K4D5C41TS40269,VRCMLX VDU,8AQB,DEPLOYED,WEALTH & INVESTMENT MANAGEMENT,GENERAL MANAGEMENT,TECHWIMT - WEALTH AND INVESTMENT MANAGEMENT TECHNOLOGY,WIMTDSDC - DOMAIN SOLUTIONS AND DOMAIN CAPABILITIES,8AQB,"1AOR IS AN EXTRACT, TRANSFORM, AND LOAD APPLICATION THAT COLLECTS, VALIDATES, TRANSFORMS, AND LOADS BROKERAGE AND CORPORATE DATA INTO THE BROKERAGE OPERATIONAL DATA STORE.",WIMT - ARCHITECTURE,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO),YES,NO,NO,YES,NO,NO,NO,No,NO,NO,NO,NO,Yes,TRUE,NO,INTERNAL,NO,NO SERVICE,Yes,Both - Send/Receive
90422,1C3OA2454I997447PPL46335LQ7ICD14,N5,YEIKA4C4T132KAHMCEAG5DMTKIP3H1,DENVS MATQO NAVOWTF,8BCKS;N5,DEPLOYED,GPL AND WHOLESALE DIGITAL,GPL AND WHOLESALE DIGITAL,TECHDTI - DIGITAL TECHNOLOGY AND INNOVATION,DTICBD - COMMERCIAL BANKING DIGITAL,8BCKS,WELLS FARGO GATEWAY IS AN EXTERNAL APPLICATION PROGAMMING INTERFACE (API) CHANNEL.,COMMERCIAL BANKING DIGITAL BANKING GATEWAY,RESTRICTED,YES,INTERNAL,ON PREMISE (WELLS FARGO);PRIVATE CLOUD,YES,NO,YES,YES,YES,YES,YES,Yes,NO,NO,NO,NO,No,TRUE,YES,INTERNAL,YES,NO SERVICE,Yes,Both - Send/Receive
90887,241N66I34I597447PPL46335LQ7ICDM4,,VI-1F8MDU2RS8754C15P2M2GPCX77P5F0P0,IRQUEKHUR HCEYUGA ZETFIVLG,8BCC,DEPLOYED,WEALTH & INVESTMENT MANAGEMENT,GENERAL MANAGEMENT,TECHWIMT - WEALTH AND INVESTMENT MANAGEMENT TECHNOLOGY,WIMTDSDC - DOMAIN SOLUTIONS AND DOMAIN CAPABILITIES,8BCC,SERVICE ORIENTED ARCHITECTURE (SOA) SERVICES APPLICATION SUPPORTING BROKERAGE ACCOUNT OPENING AND MAINTENANCE PROCESSES.,WIMT - CORE TECHNOLOGY,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO),YES,NO,NO,YES,YES,NO,NO,,NO,NO,NO,NO,No,TRUE,NO,INTERNAL,YES,NO SERVICE,No,N/A - No data transmitted in/out of Wells Fargo
92305,411N6UI34I597447PPL46335LQ7ICDLC,,VI-30497726PM3F45TM0000F26362RN75611,LCEYS,8BFL,DEPLOYED,CHIEF OPERATING OFFICE,DATA ANALYTICS AND REPORTING,TECHCOO - TECHNOLOGY CHIEF OPERATING OFFICE,TCOOCONSOPS - TECH COO CONSUMER OPERATIONS,8BFL,"THIS APPLICATION IS THE END POINT FOR DATA ACROSS THE CALL MANAGEMENT SPACE. THIS INCLUDES DATA FROM OUR INTERACTIVE VOICE RESPONSE, GENESYS, ASPECT, CHAT, EMAIL, SURVEYS, NICE, FIVE 9 FEEDS (IVR, EIVA, VCC AND VERINT) AND OTHER CALL RELATED SYSTEMS.",INDIA - MVE,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO),YES,YES,NO,YES,YES,NO,NO,,NO,NO,NO,NO,,TRUE,NO,INTERNAL,NO,NO SERVICE,No,Data received from a Third Party
99980,7CFN624R4I597447PPL46335LQ7ICDM9,,VI-MDH6916RS80241953534CKB77RPK5DL9,IUUSNXZG PNVOGKHHVVN SAAOR - DB,8BKV,DEPLOYED,TECHNOLOGY,CYBERSECURITY,TECHCDE - TECHNOLOGY CYBER AND DEVELOPER EXPERIENCE,CDECDXO - CHIEF DEVELOPMENT EXPERIENCE OFFICE,8BKV,"THE BUSINESS INTEGRATION LAYER ACTS AS A SERVICE AND EVENT BASED INTEGRATION BUS FOR WEALTH AND INVESTMENT MANAGEMENT. IN ADDITION IT SERVES AS THE WEALTH AND INVESTMENT MANAGEMENT TECHNOLOGY CENTRAL ABSTRACTION LAYER BETWEEN LINE OF BUSINESS, APPLICATION MANAGEMENT INTERFACE (API) AND UPSTREAM ENTERPRISE SYSTEMS.",CTO ENG ENABLEMENT - API MANAGEMENT,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO),YES,NO,YES,NO,NO,YES,NO,,NO,NO,NO,NO,,TRUE,NO,INTERNAL,NO,NO SERVICE,No,Both - Send/Receive
,LFGNF31O746GM2812074HM80769K45K1,,,DIO ILCMKKVQX WRQZOLHZ ZYUDEF,8BTKP,DEPLOYED,WEALTH & INVESTMENT MANAGEMENT,TRADITIONAL PRODUCT MANAGEMENT,TECHWIMT - WEALTH AND INVESTMENT MANAGEMENT TECHNOLOGY,WIMTDTP - DIGITAL TRADING PERFORMANCE AND PLANNING TECH,8BTKP,BLACKROCK ALADDIN IS A THIRD PARTY HOSTED APPLICATION (VENDOR HOSTED) AND WILL BE ACCESSIBLE TO WIM FINANCIAL ADVISORS VIA THE FINANCIAL ADVISORS VIA ADVISOR GATEWAY.,DAP-VENDORAPPS,INTERNAL USE,NO,EXTERNAL,PUBLIC CLOUD,NO,NO,NO,NO,NO,YES,YES,No,NO,NO,NO,NO,,FALSE,NO,EXTERNAL,NO,SAAS,Yes,Data received from a Third Party
91914,380N664341597447PPL46335LQ7ICD0A,,VI-9D950VL14M5G436LPSK9C1D0JPO2CHK2,LIU ISC,8BUJ,DEPLOYED,CORPORATE RISK,FCRM,TECHEFT - ENTERPRISE FUNCTIONS TECHNOLOGY,EFTRFT - ENTERPRISE FUNCTIONS TECH RISK AND FINANCE TECHNOLOGY,8BUJ,"THIS APPLICATION SOURCES CUSTOMER, ACCOUNT, AND TRANSACTION FEEDS FROM UPSTREAM ENTERPRISE SYSTEMS TO SUPPORT FINANCIAL CRIMES COMPLIANCE USE CASES.",FINANCIAL CRIMES DATA TECHNOLOGY,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO),YES,NO,NO,YES,YES,YES,YES,No,NO,NO,NO,NO,No,FALSE,NO,INTERNAL,NO,NO SERVICE,Yes,Both - Send/Receive
90859,8E9NEU034I597447PPL46335LQ7ICD98,,VI-8B9KC67SR02F478MPN00E134IRN5CF4A,LBTYKXYOTL,8BY,DEPLOYED,CBL - CHANNELS,DIGITAL DATA AND AI,TECHWIMT - WEALTH AND INVESTMENT MANAGEMENT TECHNOLOGY,WIMTDTP - DIGITAL TRADING PERFORMANCE AND PLANNING TECH,8BY,"EBROKERAGE IS A JAVA/WEBSPHERE/SQL SERVER PLATFORM INTEGRATED WITH LSEG & BETANXT, 9 SERVICES AND BANKING PLATFORMS TO PROVIDE CUSTOMERS ONLINE ACCESS TO THEIR BROKERAGE ACCOUNTS.",WIMT - WFA - DIGITAL CLIENT PLATFORMS AND WEB PUBLISHING,CONFIDENTIAL,YES,INTERNAL,ON PREMISE (WELLS FARGO),YES,NO,YES,YES,NO,YES,NO,,NO,NO,NO,NO,Yes,TRUE,YES,INTERNAL,NO,NO SERVICE,Yes,N/A - No data transmitted in/out of Wells Fargo
,IBGN6UMR4I597447PPL46335LQ7ICDKC,R0,VI-H2H66TMSPM2C4825315786D8198JFF78,JONVEVAWBUS HNF ZETFIVPBT TIEBO ZETFIVLG,8CCCM;R0,DEPLOYED,CHIEF OPERATING OFFICE,GLOBAL OPERATIONS,TECHCOO - TECHNOLOGY CHIEF OPERATING OFFICE,TCOOCONSOPS - TECH COO CONSUMER OPERATIONS,8CCCM,THIS INITIATIVE DELIVERS NEW SERVICES TO SUPPORT CUSTOMER JOURNEYS ACROSS THE CONSUMER AND COLLECTIONS PORTFOLIOS.,UNSECURE LENDING - RESOLVE HARDSHIP,CONFIDENTIAL,NO,INTERNAL,ON PREMISE (WELLS FARGO),YES,NO,NO,YES,NO,NO,NO,,NO,NO,NO,NO,,TRUE,NO,INTERNAL,YES,NO SERVICE,No,N/A - No data transmitted in/out of Wells Fargo
