COMBO_DISTR_MAIN_ID,Upstream - dependency (Where your App is receiving PAN From),Downstream - dependency (optional)
8AFN,IEVK,
8AFN,UA - Huvymtasq Jlgkrbuu Oowce,
8AQB,IEVK,
8BCKS;N5,HSFO,
8BCKS;N5,KTFC,
8BCKS;N5,W2EBD,
8BCKS;N5,YEVNL,
8BCKS;N5,DOGW,
8BCC,Ooikn,
8BCC,,HCV369
8BFL,HDKFR,
8BFL,IDKFR,
8BFL,JCKFR,
8BFL,JSKFR,
8BFL,ORKFR,
8BFL,TSKFR,
8BFL,UEKFR,
8BFL,YCKFR,
8BFL,ACKFR,
8BFL,CGKFR,
8BKV;II,,
8BTH,8AQB,
8BTH,8AQB,
8BTH,,Taiolehb II
8BTH,,Yeryrmpbt Bsgbs
8BUJ,LDRWP,
8BUJ,MDTMC,
8BUJ,PCQNE,
8BUJ,TaudekJoek (- Lxvorghz zowbcx de nev hnf wrqmelz -Ahkc hprvivhhvvn ps uov siudew pn IAO.),
8BUJ,US - UEVGOKR ZEVDLXTSAA,
8BUJ,AVKOW,
8BUJ,DCFL,
8BUJ,DDKV,
8BY,LCRB,
8BY,Uo,
8C21,UA - Huvymtasq Jlgkrbuu Oowce,
8CCCM;R0,FOO,
8CCCM;R0,DIDCV,
8CCCM;R0,DIDDP,
8CCCM;R0,DIDDP,
8CCF;J5,IRGP,
8CCF;J5,JBUS,
8CCF;J5,KC5S (ZOT),
8CDCP,JBCK,
8CEMS,8CCCM,
8CEMS,FOO,
8CKND;K6,IMI,
8CKND;K6,Ooikn,
8CT1,U/H,
8CUBC,"U/H - Lxvorghz Hpr, uo kavk vr mino lxeragns divr DF jopdabuwan WAP",
8DEM,Ooikn,
8DEM,,8AQB -Ztqbew hnf yevbixcsq cic 6IVC
8DEM,,6SNC
8DEM,,Kavk datohhbgr - koyxsmysnt yeryrmpbt hprc
8DFB,U/H,
8DUDR,FOO,
8DUDR,FOO,
8ECMM,,
8EFW,8AFK,
8EFW,8CDCP,
8EFW,8GED,
8EFW,8TTKM,
8EFW,HZQL,
8EFW,JATKT,
8EFW,JBFL,
8EFW,JDR2C,
8EFW,JLCBA,
8EFW,KEUK,
8EFW,KPU,
8EFW,LCUZ,
8EFW,LLXC,
8EFW,LPONOV,
8EFW,LSEYN,
8EFW,LSU,
8EFW,PNGD,
8EFW,PSR,
8EFW,VRR,
8EFW,WROD,
8EFW,YMR1,
8EFW,AEERE,
8EFW,ARKKG,
8EFW,BPTZA,
8EGWS,Wunv mrqw LIY,
8EIV,8RFB,
8EIV,HTNKAL,Neports Sefqek Vpgbampcahl Kavk Ztqbe
8FVE,Uopo,
8IEX,U/H,
8IPQ,MYF,
8LNQ,LCRB,
8LNQ,PCOZ,
8MEC;EP,JBULL,
8MEC;EP,RS,
8MEC;EP,U/H,
8MEC;EP,V2 - JUUDOFLF JOPDAVA TAPKGXTSAA,
8MQN,U/H,
8OHM,8A - DFCETH - HUVY MIPKNVL ZYU,
8OHM,8A - DFCETH - HUVY MIPKNVL ZYU,
8OHM,8LNQ,
8OHM,9SFC,
8OHM,JLF,
8OHM,JSVKR,
8OHM,MCYW,
8OHM,PNGD,
8OHM,BSOZS,
8OHM,DFKQ,
8OOC,WDFL,
8RFB,CC - YDT Jonvevawbus,
8SCC,UO WCK,
8SWW;YY,Uopo,
8T3K,LCRB,
8TCU,ZEK,
8TCU,ADU,
8TCU,DMDES,
8TB1;AZ,U/H,
8WQM,Feu,
8WQM,,Uo
8WQMA,6PNX,
8WQMA,LCRB,
8XE3,8XE5,
8XE3,,EC - TODSUL VNNSNX HRERIOL HNF CIGGIGN
8XP;EN,HXUD,
8XP;EN,MDT,
8XP;EN,TATC,
8XP;EN,TATC,
8XP;EN,TODSUL,
9AQB,IEVK,
6CWC,Ooikn,
6CWC,,8DEM
6PNX,8AQB,
6PNX,8BCC,
6PNX,8T3K,
6PNX,6HJN,
6PNX,6TTN,
6PNX,6WDC,
6PNX,HPU,
6PNX,KTFC,
6PNX,LCRB,
6PNX,ADU,
6PNX,CPU,
6PNX,,8AQB
6PNX,,8BY
6PNX,,8CHB
6PNX,,8EOI
6PNX,,8FCW
6PNX,,8ICZ
6PNX,,8MJZ
6PNX,,8NC1
6PNX,,8SKQ
6PNX,,8WCPO
6PNX,,8WQM
6PNX,,0AFF
6PNX,,0FQH
6PNX,,0PCD
6PNX,,6RGZ
6PNX,,IODMM
6PNX,,MITY
6PNX,,TTR
6PNX,,WLCSD
6PNX,,DMCEX
6PNX,,DMOQ
6PNX,,DMRC
6PNXAZ,8AQB,
6PNXAZ,8BCC,
6PNXAZ,8WQM,
6PNXAZ,HPU,
6PNXAZ,KTFC,
6PNXAZ,LCRB,
6PNXAZ,ADU,
6PNXAZ,,8WQM
6PNXAZ,,TTR
6WDC,6HJN,
6WDC,DMDES,
6WDC,,
6WDC,,8EOI
HAC1,U/H,6PNX
HAEA,JATO,
HAEA,JATO,
